"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1987-04-21",5,"pH",6.03
"1987-04-21",10,"pH",6.05
"1987-04-21",19,"pH",5.91
"1987-05-20",0,"pH",6.45
"1987-05-20",5,"pH",6.43
"1987-05-20",8,"pH",6.53
"1987-05-20",8,"pH",6.58
"1987-05-20",12,"pH",6.55
"1987-05-20",15,"pH",6.52
"1987-05-20",18,"pH",6.3
"1987-06-22",0,"pH",6.59
"1987-06-22",3,"pH",6.62
"1987-06-22",8,"pH",6.65
"1987-06-22",12,"pH",6.47
"1987-06-22",15,"pH",6.31
"1987-06-22",19,"pH",6.02
"1987-06-22",19,"pH",5.99
"1987-07-16",0,"pH",6.54
"1987-07-16",5,"pH",6.52
"1987-07-16",5,"pH",6.53
"1987-07-16",10,"pH",6.43
"1987-07-16",12,"pH",6.31
"1987-07-16",15,"pH",6.04
"1987-07-16",19,"pH",5.77
"1987-08-12",0,"pH",6.6
"1987-08-12",5,"pH",6.65
"1987-08-12",5,"pH",6.7
"1987-08-12",10,"pH",6.31
"1987-08-12",12,"pH",6.34
"1987-08-12",15,"pH",5.99
"1987-08-12",19,"pH",5.57
"1987-09-08",0,"pH",6.46
"1987-09-08",0,"pH",6.43
"1987-09-08",5,"pH",6.44
"1987-09-08",10,"pH",6.3
"1987-09-08",12,"pH",6.14
"1987-09-08",15,"pH",5.72
"1987-09-08",18,"pH",5.63
"1987-10-07",0,"pH",6.17
"1987-10-07",5,"pH",6.13
"1987-10-07",12,"pH",6.07
"1987-10-07",12,"pH",6.23
"1987-10-07",15,"pH",5.73
"1987-10-07",18,"pH",5.86
"1987-11-04",0,"pH",6.12
"1987-11-04",10,"pH",6.08
"1987-11-04",10,"pH",6.1
"1987-11-04",18,"pH",6.78
"1988-01-19",0,"pH",6.19
"1988-01-19",0,"pH",6.09
"1988-01-19",10,"pH",6.07
"1988-01-19",16,"pH",5.75
"1988-01-19",18,"pH",5.7
"1988-03-02",0,"pH",6
"1988-03-02",10,"pH",5.74
"1988-03-02",10,"pH",5.8
"1988-03-02",16,"pH",4.96
"1988-03-02",18,"pH",5.44
"1988-04-05",0,"pH",5.48
"1988-04-05",10,"pH",5.56
"1988-04-05",10,"pH",5.59
