"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1974-07-01",1.52,"Temperature, water","22.78"
"1974-07-01",3.05,"Temperature, water","22.78"
"1974-07-01",4.57,"Dissolved oxygen (DO)","9.8"
"1974-07-01",4.57,"Dissolved oxygen saturation","112.644"
"1974-07-01",4.57,"Temperature, water","22.78"
"1974-07-01",6.1,"Temperature, water","18.33"
"1974-07-01",6.71,"Temperature, water","16.67"
"1974-07-01",7.92,"Dissolved oxygen (DO)","5"
"1974-07-01",7.92,"Dissolved oxygen saturation","46.2963"
"1974-07-01",7.92,"Temperature, water","11.94"
"1974-07-01",10.36,"Temperature, water","8.89"
"1974-07-01",12.19,"Dissolved oxygen (DO)","0.08"
"1974-07-01",12.19,"Dissolved oxygen saturation","0.67227"
"1974-07-01",12.19,"Temperature, water","8.06"
"1974-07-01",13.72,"Temperature, water","7.78"
"1979-07-02",0,"Dissolved oxygen (DO)","11"
"1979-07-02",0,"Dissolved oxygen saturation","126.437"
"1979-07-02",0,"Depth, Secchi disk depth","2.38"
"1979-07-02",0,"Temperature, water","23.22"
"1979-07-02",0.91,"Dissolved oxygen (DO)","11"
"1979-07-02",0.91,"Dissolved oxygen saturation","126.437"
"1979-07-02",0.91,"Temperature, water","23.11"
"1979-07-02",2.13,"Dissolved oxygen (DO)","11.2"
"1979-07-02",2.13,"Dissolved oxygen saturation","128.736"
"1979-07-02",2.13,"Temperature, water","22.89"
"1979-07-02",3.05,"Dissolved oxygen (DO)","11.35"
"1979-07-02",3.05,"Dissolved oxygen saturation","130.46"
"1979-07-02",3.05,"Temperature, water","22.72"
"1979-07-02",3.96,"Dissolved oxygen (DO)","11.3"
"1979-07-02",3.96,"Dissolved oxygen saturation","125.556"
"1979-07-02",3.96,"Temperature, water","21.11"
"1979-07-02",4.57,"Dissolved oxygen (DO)","10.5"
"1979-07-02",4.57,"Dissolved oxygen saturation","114.13"
"1979-07-02",4.57,"Temperature, water","20.28"
"1979-07-02",6.1,"Dissolved oxygen (DO)","6.1"
"1979-07-02",6.1,"Dissolved oxygen saturation","64.2105"
"1979-07-02",6.1,"Temperature, water","18.28"
"1979-07-02",7.01,"Dissolved oxygen (DO)","0.5"
"1979-07-02",7.01,"Dissolved oxygen saturation","4.90196"
"1979-07-02",7.01,"Temperature, water","15"
"1979-07-02",7.92,"Dissolved oxygen (DO)","0.1"
"1979-07-02",7.92,"Dissolved oxygen saturation","0.9434"
"1979-07-02",7.92,"Temperature, water","12.61"
"1979-07-02",10.06,"Dissolved oxygen (DO)",""
"1979-07-02",10.06,"Dissolved oxygen saturation","0.40984"
"1979-07-02",10.06,"Temperature, water","7.22"
"1979-07-02",11.89,"Dissolved oxygen (DO)",""
"1979-07-02",11.89,"Dissolved oxygen saturation","0.40984"
"1979-07-02",11.89,"Temperature, water","6.78"
"1979-07-02",14.02,"Dissolved oxygen (DO)",""
"1979-07-02",14.02,"Dissolved oxygen saturation","0.4"
"1979-07-02",14.02,"Temperature, water","6.39"
"1984-05-29",3,"Dissolved oxygen saturation","100"
"1984-05-29",0,"Dissolved oxygen (DO)","9.8"
"1984-05-29",0,"Dissolved oxygen saturation","98"
"1984-05-29",0,"Depth, Secchi disk depth","3"
"1984-05-29",0,"Temperature, water","16"
"1984-05-29",0,"pH","8.83"
"1984-05-29",0,"Specific conductance","485"
"1984-05-29",0,"Inorganic nitrogen (nitrate and nitrite)","0.1"
"1984-05-29",0,"Phosphorus","0.025"
"1984-05-29",0,"Alkalinity, total","116"
"1984-05-29",1,"Dissolved oxygen (DO)","10"
"1984-05-29",1,"Dissolved oxygen saturation","100"
"1984-05-29",1,"Temperature, water","16"
"1984-05-29",2,"Dissolved oxygen (DO)","9.9"
